%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580427074277011793,234,0,,42.3433265686,-71.0878982544,20.2999992371,328014.09375,4690008.0,19,T
1580427075343467728,235,0,,42.3433265686,-71.0878982544,20.2000007629,328014.09375,4690007.5,19,T
1580427077310131280,236,0,,42.3433265686,-71.0878982544,20.3999996185,328013.9375,4690007.5,19,T
1580427078266876429,237,0,,42.3433265686,-71.0879058838,20.6000003815,328013.6875,4690008.0,19,T
1580427079272580306,238,0,,42.3433265686,-71.0879058838,20.6000003815,328013.8125,4690007.5,19,T
1580427080337101896,239,0,,42.3433227539,-71.0879135132,20.7000007629,328013.125,4690007.5,19,T
1580427081268472134,240,0,,42.3433227539,-71.0879211426,20.7999992371,328012.28125,4690007.5,19,T
1580427082318067628,241,0,,42.3433151245,-71.0879211426,20.8999996185,328012.28125,4690006.5,19,T
1580427083277514735,242,0,,42.3433151245,-71.087928772,21.1000003815,328011.71875,4690006.5,19,T
1580427084321168117,243,0,,42.3433113098,-71.087928772,21.2000007629,328011.4375,4690006.0,19,T
1580427085393696193,244,0,,42.3433074951,-71.0879364014,21.3999996185,328010.875,4690005.5,19,T
1580427086312867104,245,0,,42.3432998657,-71.0879440308,21.5,328010.3125,4690005.0,19,T
1580427087280048581,246,0,,42.343296051,-71.0879516602,21.7000007629,328009.90625,4690004.5,19,T
1580427088273063756,247,0,,42.343296051,-71.0879592896,22.0,328009.34375,4690004.5,19,T
1580427089328665761,248,0,,42.3432922363,-71.0879592896,22.0,328009.0625,4690004.0,19,T
1580427090400883655,249,0,,42.3432884216,-71.0879669189,22.2000007629,328008.625,4690003.5,19,T
1580427091319256341,250,0,,42.3432846069,-71.0879745483,22.2000007629,328008.0625,4690003.0,19,T
1580427092273280317,251,0,,42.3432769775,-71.0879745483,22.0,328007.78125,4690002.5,19,T
1580427093319565535,252,0,,42.3432731628,-71.0879745483,21.7999992371,328007.625,4690002.0,19,T
1580427094320476484,253,0,,42.3432693481,-71.0879821777,21.7999992371,328007.34375,4690001.5,19,T
1580427095390620773,254,0,,42.3432655334,-71.0879821777,21.6000003815,328007.0625,4690001.0,19,T
1580427096279175253,255,0,,42.3432617188,-71.0879821777,21.5,328006.90625,4690000.5,19,T
1580427097330339562,256,0,,42.3432579041,-71.0879898071,21.5,328006.78125,4690000.5,19,T
1580427098326875299,257,0,,42.3432540894,-71.0879898071,21.5,328006.625,4690000.0,19,T
1580427099339457108,258,0,,42.3432540894,-71.0879898071,21.5,328006.46875,4690000.0,19,T
1580427100409304869,259,0,,42.3432540894,-71.0879898071,21.8999996185,328006.21875,4690000.0,19,T
1580427101273844676,260,0,,42.3432540894,-71.0879974365,22.2000007629,328006.0625,4690000.0,19,T
1580427102273857123,261,0,,42.3432502747,-71.0879974365,22.2000007629,328005.9375,4689999.5,19,T
1580427103276206577,262,0,,42.34324646,-71.0879974365,22.1000003815,328005.90625,4689999.5,19,T
1580427104280854589,263,0,,42.34324646,-71.0879974365,21.8999996185,328005.90625,4689999.0,19,T
1580427105347145504,264,0,,42.34324646,-71.0879974365,22.0,328005.90625,4689999.0,19,T
1580427106274346313,265,0,,42.34324646,-71.0879974365,22.1000003815,328005.90625,4689999.0,19,T
1580427107281216388,266,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427108274978371,267,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427109277669746,268,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427110345992142,269,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427111284276153,270,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427112281821647,271,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427113282796457,272,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427114276737263,273,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427115344023418,274,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427116275963641,275,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427117275391908,276,0,,42.3432426453,-71.0879974365,21.7999992371,328005.90625,4689998.5,19,T
1580427118275609715,277,0,,42.34324646,-71.0879898071,21.8999996185,328006.1875,4689999.0,19,T
